Visitor_ID,Age,Gender,Accommodation_Type,Accommodation_Cost (INR),Travel_Mode,Travel_Cost (INR),Total_Trip_Cost (INR),Visit_Month,Group_Size,State_of_Origin,Trip_Duration (Days)
V00001,32,Female,Hotel,2389,Walk,0,2389,July,10,Rajasthan,6
V00002,56,Female,Dharamshala,805,Walk,0,805,August,1,Madhya Pradesh,7
V00003,46,Male,Hotel,1852,Palanquin,335,2187,August,5,Maharashtra,4
V00004,55,Female,Dharamshala,4481,Horse,7057,11538,June,9,Uttar Pradesh,2
V00005,38,Male,Dharamshala,735,Helicopter,2968,3703,May,6,Delhi,7
V00006,48,Female,Dharamshala,1591,Walk,0,1591,July,2,Madhya Pradesh,4
V00007,35,Male,Tent,3599,Walk,0,3599,June,2,Maharashtra,1
V00008,39,Male,Hotel,826,Horse,118,944,May,6,Delhi,3
V00009,62,Female,Tent,3098,Palanquin,5863,8961,October,8,Madhya Pradesh,3
V00010,59,Male,Tent,3894,Helicopter,978,4872,August,6,Uttar Pradesh,5
V00011,23,Female,Hotel,4684,Horse,7589,12273,October,2,Uttar Pradesh,3
V00012,58,Female,Tent,765,Walk,0,765,October,9,Delhi,1
V00013,62,Female,Tent,394,Walk,0,394,September,1,Rajasthan,3
V00014,37,Male,Hotel,594,Walk,0,594,July,1,Delhi,6
V00015,54,Male,Tent,4112,Helicopter,6631,10743,June,2,Rajasthan,5
V00016,20,Male,Tent,1622,Palanquin,5571,7193,August,4,Uttar Pradesh,5
V00017,45,Female,Dharamshala,4485,Walk,0,4485,May,4,Maharashtra,3
V00018,46,Male,Dharamshala,1310,Walk,0,1310,July,9,Madhya Pradesh,5
V00019,54,Male,Dharamshala,3236,Walk,0,3236,August,10,Maharashtra,6
V00020,20,Male,Hotel,3815,Helicopter,8000,11815,September,3,Maharashtra,4
V00021,24,Other,Tent,384,Horse,6991,7375,June,7,Delhi,5
V00022,47,Male,Hotel,701,Walk,0,701,August,3,Rajasthan,6
V00023,26,Male,Hotel,3781,Palanquin,3362,7143,September,6,Gujarat,7
V00024,43,Female,Tent,3715,Helicopter,1264,4979,August,2,Delhi,6
V00025,70,Female,Tent,2032,Horse,5305,7337,August,6,Uttar Pradesh,3
V00026,53,Female,Tent,4004,Palanquin,1291,5295,September,2,Madhya Pradesh,2
V00027,36,Male,Tent,4743,Walk,0,4743,August,9,Maharashtra,7
V00028,48,Male,Hotel,703,Palanquin,5709,6412,September,6,Uttar Pradesh,2
V00029,25,Female,Hotel,3522,Horse,3197,6719,July,8,Gujarat,2
V00030,43,Female,Tent,1598,Walk,0,1598,October,3,Gujarat,4
V00031,29,Female,Hotel,2336,Walk,0,2336,October,10,Delhi,2
V00032,21,Male,Dharamshala,2359,Palanquin,4144,6503,June,7,Madhya Pradesh,4
V00033,48,Male,Hotel,4072,Walk,0,4072,May,1,Maharashtra,2
V00034,31,Female,Hotel,506,Helicopter,4442,4948,May,4,Madhya Pradesh,7
V00035,24,Female,Hotel,760,Walk,0,760,August,2,Maharashtra,3
V00036,32,Male,Hotel,4455,Palanquin,262,4717,June,2,Gujarat,1
